0	0
0	0
0	0
0	0
85	144
122	31
71	5
0	52
49	170
44	130
113	20
12	120
123	108
98	152
73	141
121	46
139	131
121	150
104	153
117	152
96	173
177	144
125	166
174	130
104	36
150	59
160	143
109	170
0	0
0	0
0	0
0	0
26	142
18	118
0	71
15	112
44	118
61	130
68	43
19	142
66	150
56	128
90	149
58	132
59	128
50	141
58	152
76	136
69	31
68	158
75	151
98	137
15	1
28	84
28	130
94	150
0	0
0	0
0	0
0	0
60	168
28	152
93	35
77	166
85	155
61	158
67	159
83	163
82	159
81	167
66	159
83	165
57	156
40	173
71	166
79	172
36	110
67	158
85	177
81	166
20	10
22	92
54	145
80	166
76	38
28	160
4	111
53	177
93	186
80	178
67	187
103	196
88	182
78	181
86	183
102	189
61	150
70	187
66	182
105	184
20	54
27	161
56	179
86	197
6	40
7	75
33	135
91	182
0	0
0	10
5	24
83	191
0	0
0	0
0	0
0	0
0	8
0	0
0	0
0	36
6	0
15	0
3	0
0	35
0	37
3	59
0	14
0	61
2	41
65	9
1	67
52	9
7	0
0	80
3	109
19	122
9	0
19	0
32	0
23	0
0	0
0	0
0	0
0	0
0	85
7	0
0	0
10	0
0	107
0	46
0	52
0	130
11	65
5	126
5	81
46	7
10	34
5	129
8	159
12	171
0	51
2	120
13	175
7	176
0	0
4	0
2	70
54	8
0	0
0	0
0	0
0	0
9	174
4	135
0	99
5	176
58	19
53	36
47	10
32	184
7	172
30	189
19	174
40	193
10	142
25	185
29	196
68	188
10	88
47	161
27	194
57	201
0	20
19	10
52	10
26	166
78	196
72	197
69	198
77	199
75	193
82	193
80	194
86	198
65	192
81	196
79	194
91	193
37	185
62	195
82	196
88	203
24	106
31	189
59	199
87	202
0	20
12	28
37	158
73	207
0	0
1	0
5	54
107	213
